Series,Contestant,PPT,Prize,Subjective,Objective,Fastest,Live,Team,Highest,Lowest,Gender,Greg.Harshness,Age,GregsAge,Seat,Height,Hand,Children,Winner
10,Katherine Parkinson,2.31,3,2.75,2.03,2,2.2,2.38,20,6,F,0.97,41.67,52,3,168,R,2,N
11,Sarah Kendall,3.16,3,3.22,3.11,3.73,3.4,2.38,23,12,F,0.96,40.02,52,5,172.5,R,2,Y
11,Mike Wozniak,3.08,3.5,3.39,2.81,2.27,2.9,3.75,21,6,M,0.96,40.02,52,4,185,R,2,N
11,Lee Mack,3.02,3.1,3.17,2.89,2.73,3.3,3.75,22,7,M,0.96,40.02,52,3,183,R,3,N
11,Jamali Maddix,2.74,3.1,2.91,2.59,2.27,2.4,2.38,21,7,M,0.96,40.02,52,2,185,L,0,N
11,Charlotte Ritchie,2.5,2.9,2.78,2.26,2.18,2.2,2.38,20,5,F,0.96,40.02,52,1,167.6,R,0,N
12,Morgana Robinson,3.36,2.1,3.22,3.46,3.38,3.7,3.86,19,13,F,0.87,44.47,53,4,175,R,0,Y
12,Guz Khan,3.34,3.2,3.76,3.05,2.69,4.2,3.57,22,8,M,0.87,44.47,53,3,180.3,R,4,N
12,Alan Davies,3.22,3.8,3.76,2.85,2.77,2.5,2.86,21,11,M,0.87,44.47,53,1,180,R,3,N
12,Desiree Burch,3.22,3.9,3.66,2.92,3.54,3,3.57,21,8,F,0.87,44.47,53,2,170,R,0,N
12,Victoria Coren Mitchell,2.42,2.1,2.59,2.31,2.38,2.2,2.86,18,8,F,0.87,44.47,53,5,160,R,1,N
13,Sophie Duker,3.46,3.1,3.35,3.54,3.5,3.5,4.33,28,13,F,0.87,42.8,53,5,167,R,0,Y
13,Chris Ramsey,3.4,2.7,3.35,3.44,3.25,2.8,3.67,23,11,M,0.87,42.8,53,3,178,R,2,N
13,Bridget Christie,3.14,3.6,3.72,2.7,3.25,3.3,4.33,25,7,F,0.87,42.8,53,2,169,R,2,N
13,Ardal O'Hanlon,3.06,3.8,3.44,2.77,2.25,2.8,3.67,21,10,M,0.87,42.8,53,1,175,R,3,N
13,Judi Love,2.84,2.6,2.93,2.77,3,2.3,4.33,24,10,F,0.87,42.8,53,4,167,R,2,N
14,Dara Ó Briain,3.68,3.4,3.63,3.71,2.8,4.3,2.78,30,9,M,0.95,39.4,54,1,195,R,3,Y
14,Sarah Millican,3.48,3.2,3.74,3.32,3.2,3.3,4,22,15,F,0.95,39.4,54,5,170,R,0,N
14,Munya Chawawa,3,2.2,2.74,3.16,2.4,3.2,4,21,8,M,0.95,39.4,54,4,170.2,L,0,N
14,John Kearns,2.88,2.6,3.11,2.74,1,2.6,3.33,23,6,M,0.95,39.4,54,3,179,R,1,N
14,Fern Brady,2.88,2.9,3.63,2.42,1.8,3,2.78,23,6,F,0.95,39.4,54,2,172,R,0,N
15,Mae Martin,3.48,3,3.59,3.39,3.75,3.5,5.25,28,10,NB,0.88,42.8,54,5,167,NA,0,Y
15,Kiell Smith-Bynoe,3.16,3.5,3.5,2.89,3,2.7,5.25,25,9,M,0.88,42.8,54,4,183,NA,0,N
15,Jenny Eclair,3.04,3,3.05,3.04,2.25,3.9,5.25,22,7,F,0.88,42.8,54,3,162.6,NA,1,N
15,Frankie Boyle,3,3.7,3.45,2.64,2.5,2.1,3,20,10,M,0.88,42.8,54,1,183,NA,2,N
15,Ivo Graham,2.62,2.9,3.14,2.21,0.5,2.1,3,21,7,M,0.88,42.8,54,2,170,NA,1,N
16,Sam Campbell,3.22,2.8,3.13,3.3,3.27,3.7,3.83,24,10,M,0.94,44.6,55,3,171,NA,0,Y
16,Julian Clary,3.1,3.5,3.35,2.89,3.55,3.4,3.83,19,9,M,0.94,44.6,55,1,189,NA,0,N
16,Susan Wokoma,2.78,2.8,3.22,2.41,2.82,2.7,2.83,19,6,F,0.94,44.6,55,5,163,NA,0,N
16,Sue Perkins,2.74,3.6,3.65,1.96,1.64,2.7,2.83,20,6,F,0.94,44.6,55,4,166,NA,0,N
16,Lucy Beaumont,2.58,2.7,2.61,2.56,2.27,3,3.83,20,7,F,0.94,44.6,55,2,154.9,NA,1,N
17,John Robins,3.84,3.2,3.65,4.04,3.5,3.9,5.13,22,17,M,0.91,43.2,55,2,180,NA,0,Y
17,Joanne McNally,3.42,3,3.19,3.67,3.63,3.3,5.13,20,12,F,0.91,43.2,55,1,171.7,NA,0,N
17,Steve Pemberton,3.06,3.9,3.58,2.5,2.5,2.5,2.88,21,8,M,0.91,43.2,55,5,175,NA,3,N
17,Sophie Willan,2.88,2.7,2.85,2.92,2.63,2.8,5.13,21,8,F,0.91,43.2,55,4,162.56,NA,0,N
17,Nick Mohammed,2.62,2.6,2.88,2.33,1.88,2.5,2.88,19,10,M,0.91,43.2,55,3,164,NA,3,N
18,Andy Zaltzman,3.2,3.8,3.55,2.97,3.64,2.5,4,21,9,M,0.91,43.2,56,1,178,NA,2,Y
18,Jack Dee,3.14,3,3.35,3,2.73,2.8,1.71,20,10,M,0.91,43.2,56,4,169,NA,4,N
18,Emma Sidi,3.04,3.5,3.2,2.93,3.36,2,4,22,8,F,0.91,43.2,56,3,167,NA,0,N
18,Babatunde Aléshé,2.94,2.3,2.8,3.03,3.45,2.1,4,22,9,M,0.91,43.2,56,2,171,NA,2,N
18,Rosie Jones,2.74,3.6,3.3,2.37,2.55,1.9,1.71,17,10,F,0.91,43.2,56,5,164,NA,0,N
